sentence	label
an unintentionally surreal kid 's picture ... in which actors in bad bear suits enact a sort of inter-species parody of a vh1 behind the music episode .	0
the kind of film that leaves you scratching your head in amazement over the fact that so many talented people could participate in such an ill-advised and poorly executed idea .	0
a flawed but engrossing thriller .	1
may be more genial than ingenious , but it gets the job done .	1
... by the time it 's done with us , mira nair 's new movie has its audience giddy with the delight of discovery , of having been immersed in a foreign culture only to find that human nature is pretty much the same all over .	1
this insufferable movie is meant to make you think about existential suffering .	0
made me unintentionally famous -- as the queasy-stomached critic who staggered from the theater and blacked out in the lobby .	0
ryan gosling ... is at 22 a powerful young actor .	1
mckay seems embarrassed by his own invention and tries to rush through the intermediary passages , apparently hoping that the audience will not notice the glaring triteness of the plot device he has put in service .	0
shreve 's graceful dual narrative gets clunky on the screen , and we keep getting torn away from the compelling historical tale to a less-compelling soap opera .	0
rarely has a film 's title served such dire warning .	0
a delicious and delicately funny look at the residents of a copenhagen neighborhood coping with the befuddling complications life tosses at them .	1
it might not be 1970s animation , but everything else about it is straight from the saturday morning cartoons -- a retread story , bad writing , and the same old silliness .	0
this is not an easy film .	0
why anyone who is not a character in this movie should care is beyond me .	0
the film feels formulaic , its plot and pacing typical hollywood war-movie stuff , while the performances elicit more of a sense of deja vu than awe .	0
plummer steals the show without resorting to camp as nicholas ' wounded and wounding uncle ralph .	1
frankly , it 's pretty stupid .	0
a confident , richly acted , emotionally devastating piece of work and 2002 's first great film	1
a noble failure .	0
with more character development this might have been an eerie thriller ; with better payoffs , it could have been a thinking man 's monster movie .	0
-lrb- a -rrb- smarter and much funnier version of the old police academy flicks .	1
ken russell would love this .	1
a marvelous performance by allison lohman as an identity-seeking foster child .	1
a beautiful paean to a time long past .	1
... irritating soul-searching garbage .	0
feeling to it , but like the 1920 's , the trip there is a great deal of fun .	1
see it for his performance if nothing else .	1
if we 're to slap protagonist genevieve leplouff because she 's french , do we have that same option to slap her creators because they 're clueless and inept ?	0
nijinsky says , ' i know how to suffer ' and if you see this film you 'll know too .	0
` it looks good , sonny , but you missed the point . '	0
a hallmark film in an increasingly important film industry and worth the look .	1
contrived , awkward and filled with unintended laughs , the film shows signs that someone other than the director got into the editing room and tried to improve things by making the movie go faster .	0
